Generate Time,Source address,Destination address,IP Protocol,Destination Port,Matched Policies
9/2/25 11:42,10.61.10.18,10.138.205.53,udp,137,NO MATCH
9/2/25 11:42,10.61.10.18,10.138.205.53,udp,137,NO MATCH
9/2/25 11:08,10.61.10.11,10.160.36.46,udp,137,NO MATCH
9/2/25 11:04,10.61.10.11,10.160.36.46,udp,137,NO MATCH
9/2/25 11:04,10.61.10.16,10.160.36.46,udp,137,NO MATCH
9/2/25 10:13,10.61.10.32,10.138.205.41,udp,137,NO MATCH
9/2/25 10:01,10.61.10.11,10.160.36.46,udp,137,NO MATCH
9/2/25 10:01,10.61.10.11,10.160.36.46,udp,137,NO MATCH
9/2/25 10:01,10.61.10.11,10.160.36.46,udp,137,NO MATCH
9/2/25 9:11,10.61.10.16,10.160.36.46,udp,137,NO MATCH
9/2/25 8:18,10.61.9.5,10.138.205.250,tcp,80,NO MATCH
9/2/25 8:18,10.61.9.5,10.160.48.51,tcp,80,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.26.45,tcp,443,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.40.38,tcp,80,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.32.132,tcp,80,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.26.45,tcp,80,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.40.37,tcp,80,NO MATCH
9/2/25 8:17,10.61.9.5,10.138.205.250,udp,161,NO MATCH
9/2/25 8:17,10.61.9.5,10.150.254.240,tcp,80,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.48.51,udp,161,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.32.148,udp,161,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.32.149,udp,161,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.26.44,udp,161,NO MATCH
9/2/25 8:17,10.61.9.5,10.150.253.242,tcp,80,NO MATCH
9/2/25 8:17,10.61.9.5,10.160.40.32,udp,161,NO MATCH
