Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,,Sequence Number,Action Flags,Source Country,Destination Country,,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received,UUID for rule,HTTP/2 Connection,link_change_count,policy_id,link_switches,sdwan_cluster,sdwan_device_type,sdwan_cluster_type,sdwan_site,dynusergroup_name,XFF address,Source Device Category,Source Device Profile,Source Device Model,Source Device Vendor,Source Device OS Family,Source Device OS Version,Source Hostname,Source Mac Address,Destination Device Category,Destination Device Profile,Destination Device Model,Destination Device Vendor,Destination Device OS Family,Destination Device OS Version,Destination Hostname,Destination Mac Address,Container ID,POD Namespace,POD Name,Source External Dynamic List,Destination External Dynamic List,Host ID,Serial Number,Source Dynamic Address Group,Destination Dynamic Address Group,session_owner,High Res Timestamp,nssai_sst,nssai_sd,Subcategory of app,Category of app,Technology of app,Risk of app,Characteristic of app,Container of app,Tunneled app,SaaS of app,Sanctioned State of app,offloaded,flow_type,cluster_name,AI Traffic,AI Forward Error,K8S Cluster ID,tcp_rtt_c2s,tcp_rtt_s2c,total_n_ooseq_c2s,total_n_ooseq_s2c,tcp_retransit_cnt_c2s,tcp_retransit_cnt_s2c,tcp_zero_window_cnt_c2s,tcp_zero_window_cnt_s2c
1,9/2/25 11:42,025409001032,TRAFFIC,end,2818,9/2/25 11:42,10.61.10.18,10.138.205.53,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 11:42,5977951,1,65535,137,0,0,0x19,udp,allow,96,96,0,1,9/2/25 11:42,0,any,,7543384744968186239,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,0,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Pro (17134),SCC0362J1,6c:2b:59:f9:4d:a3,,,,,,,,,,,2025-09-02T11:42:52.085-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 11:42,025409001032,TRAFFIC,end,2818,9/2/25 11:42,10.61.10.18,10.138.205.53,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 11:42,1993233,1,49409,137,0,0,0x19,udp,allow,96,96,0,1,9/2/25 11:42,0,any,,7543384744968185748,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,0,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Pro (17134),SCC0362J1,6c:2b:59:f9:4d:a3,,,,,,,,,,,2025-09-02T11:42:52.072-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 11:08,025409001032,TRAFFIC,end,2818,9/2/25 11:08,10.61.10.11,10.160.36.46,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 11:08,5327806,1,54794,137,0,0,0x19,udp,allow,299,96,203,2,9/2/25 11:07,0,any,,7543384744955960515,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,1,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Enterprise (19045),FRAMMWCCBPC5,c0:25:a5:ac:97:8d,,,,,,,,,,,2025-09-02T11:08:18.967-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 11:04,025409001032,TRAFFIC,end,2818,9/2/25 11:04,10.61.10.11,10.160.36.46,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 11:04,3001152,1,63594,137,0,0,0x19,udp,allow,299,96,203,2,9/2/25 11:03,0,any,,7543384744954510056,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,1,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Enterprise (19045),FRAMMWCCBPC5,c0:25:a5:ac:97:8d,,,,,,,,,,,2025-09-02T11:04:18.338-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 11:04,025409001032,TRAFFIC,end,2818,9/2/25 11:04,10.61.10.16,10.160.36.46,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 11:04,8117811,1,60694,137,0,0,0x19,udp,allow,299,96,203,2,9/2/25 11:03,0,any,,7543384744954507231,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,1,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Enterprise (19045),FRAMMWCCBPC5,c0:25:a5:ac:97:8d,,,,,,,,,,,2025-09-02T11:04:17.968-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 10:13,025409001032,TRAFFIC,end,2818,9/2/25 10:13,10.61.10.32,10.138.205.41,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 10:13,8867143,1,60758,137,0,0,0x19,udp,allow,96,96,0,1,9/2/25 10:13,0,any,,7543384744936275239,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,0,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Pro (19045),SCC05EXAM105-02,e4:54:e8:4e:1d:e5,,,,,,,,,,,2025-09-02T10:13:46.995-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 10:01,025409001032,TRAFFIC,end,2818,9/2/25 10:01,10.61.10.11,10.160.36.46,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 10:01,7008565,1,54337,137,0,0,0x19,udp,allow,299,96,203,2,9/2/25 10:00,0,any,,7543384744931883206,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,1,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Enterprise (19045),FRAMMWCCBPC5,c0:25:a5:ac:97:8d,,,,,,,,,,,2025-09-02T10:01:30.820-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 10:01,025409001032,TRAFFIC,end,2818,9/2/25 10:01,10.61.10.11,10.160.36.46,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 10:01,1559051,1,63594,137,0,0,0x19,udp,allow,299,96,203,2,9/2/25 10:00,0,any,,7543384744931823674,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,1,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Enterprise (19045),FRAMMWCCBPC5,c0:25:a5:ac:97:8d,,,,,,,,,,,2025-09-02T10:01:21.168-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 10:01,025409001032,TRAFFIC,end,2818,9/2/25 10:01,10.61.10.11,10.160.36.46,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 10:01,8956929,1,63596,137,0,0,0x19,udp,allow,299,96,203,2,9/2/25 10:00,0,any,,7543384744931819751,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,1,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Enterprise (19045),FRAMMWCCBPC5,c0:25:a5:ac:97:8d,,,,,,,,,,,2025-09-02T10:01:20.764-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 9:11,025409001032,TRAFFIC,end,2818,9/2/25 9:11,10.61.10.16,10.160.36.46,,,cloud-to-dmz,,,netbios-ns,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 9:11,8831350,1,56344,137,0,0,0x19,udp,allow,299,96,203,2,9/2/25 9:10,0,any,,7543384744913934346,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,1,1,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Personal Computer,Dell Computer,,Dell,Windows,Windows 10 Enterprise (19045),FRAMMWCCBPC5,c0:25:a5:ac:97:8d,,,,,,,,,,,2025-09-02T09:11:19.668-05:00,,,infrastructure,networking,network-protocol,4,"used-by-malware,has-known-vulnerability,tunnel-other-application,prone-to-misuse,pervasive-use",,netbios-ns,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
